,"Tmelt, K",Smiles#1,Smiles#2,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),T#1,T#2,MW,HBD,fr_Al_COO,fr_Ar_COO,fr_Ar_N,fr_Ar_OH,fr_NH0,fr_NH1,fr_amide,AROM,ALERTS,n_HM
10,313.39,Cl[Zn]Cl,CCN(CC)OCC.Cl ,,,0.5,0.5,563.15,406.15,144.97449999999998,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5
11,310.47,Cl[Zn]Cl,CCN(CC)OCC.Cl ,,,0.75,0.25,563.15,406.15,140.63524999999998,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.75
12,340.95,Cl[Zn]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,,0.67,0.33,563.15,373.15,197.70206999999996,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.67
13,341.54999999999995,Cl[Zn]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,,0.8,0.2,563.15,373.15,173.5118,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.8
14,344.99,Cl[Zn]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,,0.86,0.14,563.15,373.15,162.34705999999997,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.0,0.86
15,289.95,O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],C[N+](C)(C)CCO.[Cl-],,,0.8,0.2,303.15,575.15,203.1844,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.8
16,293.79999999999995,O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],C[N+](C)(C)CCO.[Cl-],,,0.86,0.14,303.15,575.15,207.95128,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.0,0.86
17,297.25,O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],C[N+](C)(C)CCO.[Cl-],,,0.9,0.1,303.15,575.15,211.12920000000003,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.9
18,283.15,O.O.O.O.O.O.Cl[Mg]Cl,C[N+](C)(C)CCO.[Cl-],,,0.67,0.33,390.15,575.15,182.28825,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.67
19,249.39,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,,,0.07,0.93,498.15,290.95,112.47625,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21000000000000002,0.14,0.0
20,253.63,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O ,,,0.08,0.92,498.15,265.95,168.82160000000002,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.08,0.0
21,253.15,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],CC(O)=O,,,0.33,0.67,456.15,289.15,115.40191000000002,0.67,0.67,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.33,0.0
22,299.15,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,0.5,0.5,456.15,429.15,209.95100000000002,2.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0
23,275.15,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,,,0.33,0.67,456.15,379.15,190.54442,0.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,1.0,0.0
24,309.15,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(=O)(N)N,,,0.33,0.67,456.15,405.85,115.40459000000001,1.34,0.0,0.0,0.0,0.0,0.33,0.0,1.34,0.33,0.33,0.0
25,332.15,[B-](F)(F)(F)F.CC[N+](CC)(CC)CC1=CC=CC=C1,C(=O)(N)N,,,0.33,0.67,388.15,405.85,132.35041999999999,1.34,0.0,0.0,0.0,0.0,0.33,0.0,1.34,0.33,0.99,0.0
26,313.35,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,0.3,0.7,512.15,429.15,190.19549999999998,2.8,2.0999999999999996,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.0
27,306.28,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,0.4,0.6,512.15,429.15,189.553,2.4,1.7999999999999998,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.0
28,304.15,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,0.5,0.5,512.15,429.15,188.9105,2.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0
29,306.28,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,0.6,0.4,512.15,429.15,188.268,1.6,1.2000000000000002,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.6,0.0
30,297.79999999999995,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O,,,0.3,0.7,512.15,462.15,118.73319999999998,1.4,1.4,0.0,0.0,0.0,0.3,0.0,0.0,0.3,1.0,0.0
31,278.71,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O,,,0.4,0.6,512.15,462.15,128.2996,1.2,1.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,1.0,0.0
32,301.69,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O,,,0.6,0.4,512.15,462.15,147.43239999999997,0.8,0.8,0.0,0.0,0.0,0.6,0.0,0.0,0.6,1.0,0.0
33,290.37,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,,,0.2,0.8,512.15,376.15,174.90359999999998,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,1.0,0.0
34,272.15,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,,,0.3,0.7,512.15,376.15,176.25289999999998,0.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.0
35,276.23,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,,,0.4,0.6,512.15,376.15,177.60219999999998,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,1.0,0.0
36,287.54999999999995,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,,,0.5,0.5,512.15,376.15,178.95149999999998,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0
37,290.02,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,,,0.6,0.4,512.15,376.15,180.30079999999998,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,1.0,0.0
38,299.15,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(=O)(N)N,,,0.33,0.67,512.15,405.85,101.51785999999998,1.34,0.0,0.0,0.0,0.0,0.33,0.0,1.34,0.33,0.33,0.0
39,321.04999999999995,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(CO)O,,,0.25,0.75,603.15,260.25,143.77050000000003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0
40,322.17,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(CO)O,,,0.33,0.67,603.15,260.25,169.91530000000003,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.33,0.0
41,222.88,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(C(CO)O)O,,,0.08,0.92,603.15,290.95,115.83671999999999,2.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.08,0.0
42,251.15,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(C(CO)O)O,,,0.06,0.94,603.15,290.95,109.90103999999997,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0
43,323.51,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(C(CO)O)O,,,0.17,0.83,603.15,290.95,142.54728,2.4899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.17,0.0
44,328.91,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(C(CO)O)O,,,0.33,0.67,603.15,290.95,190.03272,2.0100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.33,0.0
45,253.66,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(COCCOCCO)O,,,0.11,0.89,603.15,265.95,176.43144,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.0,0.0
46,248.43,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,,,0.25,0.75,456.15,291.15,124.50325000000001,1.5,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0
47,217.15,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)Cl,,,0.4,0.6,514.15,411.15,140.79999999999998,0.6,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.0
48,312.15,C[N+](C)(C)CC(=O)[O-],C1=COC(=C1)C(=O)O,,,0.33,0.67,514.15,401.15,113.75511999999999,0.67,0.33,0.67,0.0,0.0,0.33,0.0,0.0,0.67,0.33,0.0
49,284.15,C[N+](C)(C)CC(=O)[O-],C1=CC(=CC=C1C(=O)O)Cl,,,0.4,0.6,514.15,511.15,140.79999999999998,0.6,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.0
50,301.15,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C=C1)C(=O)O,,,0.33,0.67,514.15,395.15,120.48124999999997,0.67,0.33,0.67,0.0,0.0,0.33,0.0,0.0,0.67,0.33,0.0
51,347.98,C[N+](C)(C)CC(=O)[O-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O,,,0.4,0.6,514.15,408.15,172.94199999999998,2.4,2.1999999999999997,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0
52,321.15,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C=C1)C(C(=O)O)O,,,0.5,0.5,514.15,404.15,134.64849999999998,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0
53,286.15,C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,,,0.3,0.7,514.15,348.15,88.3801,1.4,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
54,246.38,C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,,,0.4,0.6,514.15,348.15,92.4898,1.2,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0
55,238.45,C[N+](C)(C)CC(=O)[O-],C(=O)(C(=O)O)O.O.O,,,0.33,0.67,514.15,371.15,123.12172,1.34,1.6700000000000002,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0
56,306.15,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C=C1)CC(=O)O,,,0.33,0.67,514.15,349.15,129.87933999999998,0.67,1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67,0.33,0.0
57,266.15,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)O,,,0.4,0.6,514.15,431.15,129.73239999999998,1.2,0.4,0.6,0.0,0.6,0.4,0.0,0.0,0.6,0.4,0.0
58,312.29999999999995,C[N+](C)(C)CC(=O)[O-],CC1CCC(C(C1)O)C(C)C,,,0.2,0.8,514.15,309.15,148.4448,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0
59,315.2,C[N+](C)(C)CC(=O)[O-],CC1CCC(C(C1)O)C(C)C,,,0.3,0.7,514.15,309.15,144.53269999999998,0.7,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
60,371.7,C[N+](C)(C)CC(=O)[O-],CC1CCC(C(C1)O)C(C)C,,,0.5,0.5,514.15,309.15,136.7085,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
61,447.5,C[N+](C)(C)CC(=O)[O-],CC1CCC(C(C1)O)C(C)C,,,0.7,0.3,514.15,309.15,128.88429999999997,0.3,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0
62,334.79999999999995,C[N+](C)(C)CC(=O)[O-],CCCCCCCCCCCCCCCCCCO,,,0.2,0.8,514.15,329.15,239.83039999999988,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0
63,344.2,C[N+](C)(C)CC(=O)[O-],CCCCCCCCCCCCCCCCCCO,,,0.4,0.6,514.15,329.15,209.1597999999999,0.6,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0
64,359.7,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)O,,,0.4,0.6,514.15,431.15,129.73239999999998,1.2,0.4,0.6,0.0,0.6,0.4,0.0,0.0,0.6,0.4,0.0
65,360.8,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)O,,,0.6,0.4,514.15,432.15,125.53759999999997,0.8,0.6,0.4,0.0,0.4,0.6,0.0,0.0,0.4,0.6,0.0
66,411.8,C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)O,,,0.8,0.2,514.15,433.15,121.34279999999998,0.4,0.8,0.2,0.0,0.2,0.8,0.0,0.0,0.2,0.8,0.0
67,328.5,C[N+](C)(C)CC(=O)[O-],CC1=CC(=C(C=C1)C(C)C)O,,,0.4,0.6,514.15,319.95,136.99179999999998,0.6,0.4,0.0,0.0,0.6,0.4,0.0,0.0,0.6,0.4,0.0
68,426.4,C[N+](C)(C)CC(=O)[O-],CC1=CC(=C(C=C1)C(C)C)O,,,0.6,0.4,514.15,319.95,130.37719999999996,0.4,0.6,0.0,0.0,0.4,0.6,0.0,0.0,0.4,0.6,0.0
69,359.29999999999995,C[N+](C)(C)CC(=O)[O-],C(=O)(N)N,,,0.2,0.8,514.15,405.85,71.47439999999999,1.6,0.2,0.0,0.0,0.0,0.2,0.0,1.6,0.0,0.2,0.0
70,386.3,C[N+](C)(C)CC(=O)[O-],C(=O)(N)N,,,0.4,0.6,514.15,406.85,82.8928,1.2,0.4,0.0,0.0,0.0,0.4,0.0,1.2,0.0,0.4,0.0
71,490.4,C[N+](C)(C)CC(=O)[O-],C(=O)(N)N,,,0.8,0.2,514.15,407.85,105.72959999999999,0.4,0.8,0.0,0.0,0.0,0.8,0.0,0.4,0.0,0.8,0.0
72,268.15,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(CO)O)O,,,0.25,0.75,478.55,290.95,149.66424999999995,2.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
73,267.15,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(CO)O)O,,,0.33,0.67,478.55,290.95,168.08672999999996,2.0100000000000002,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0
74,270.15,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(CO)O)O,,,0.4,0.6,478.55,290.95,184.20639999999995,1.7999999999999998,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0
75,182.51,CCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,,,0.08,0.92,513.15,260.25,89.04752,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.08,0.0
76,316.9,C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,,,0.2,0.8,575.15,309.15,152.94039999999998,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0
77,316.29999999999995,C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,,,0.4,0.6,575.15,309.15,149.61179999999996,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0
78,376.8,C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,,,0.6,0.4,575.15,309.15,146.28319999999997,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0
79,463.4,C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,,,0.8,0.2,575.15,309.15,142.95459999999997,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0
80,336.15,C[N+](C)(C)CCO.[Cl-],CC(CN)N,,,0.33,0.67,575.15,241.45,95.74167,1.6700000000000002,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0
81,241.15,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,,,0.33,0.67,575.15,289.15,106.45831999999999,1.6700000000000002,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0
82,322.73,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,,,0.2,0.8,575.15,321.15,100.02279999999999,1.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0
83,322.28,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,,,0.33,0.67,575.15,321.15,106.45831999999999,1.6700000000000002,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0
84,334.62,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,,,0.6,0.4,575.15,321.15,119.82439999999998,1.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0
85,371.45,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,,,0.7,0.3,575.15,321.15,124.77479999999997,1.2999999999999998,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0
86,451.65,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,,,0.8,0.2,575.15,321.15,129.72519999999997,1.2000000000000002,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0
87,513.15,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,,,0.9,0.1,575.15,321.15,134.67559999999997,1.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0
88,302.15,C[N+](C)(C)CCO.[Cl-],CNC(=O)N,,,0.33,0.67,575.15,372.15,95.71219,1.6700000000000002,0.0,0.0,0.0,0.0,0.33,0.67,1.34,0.0,0.33,0.0
89,332.2,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,,,0.14,0.86,575.15,329.15,252.17849999999987,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.0,0.0
90,331.58,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,,,0.2,0.8,575.15,329.15,244.32599999999988,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0
91,329.98,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,,,0.4,0.6,575.15,329.15,218.1509999999999,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0
92,344.82,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,,,0.33,0.67,575.15,329.15,227.3122499999999,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0
93,339.48,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,,,0.6,0.4,575.15,329.15,191.97599999999994,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0
94,456.75,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,,,0.67,0.33,575.15,329.15,182.81474999999995,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0
95,510.18,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,,,0.9,0.1,575.15,329.15,152.71349999999995,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0
96,310.92,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,,,0.1,0.9,575.15,309.15,206.91629999999995,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0
97,306.54999999999995,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,,,0.29,0.71,575.15,309.15,192.71056999999993,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,1.0,0.0
98,319.48,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,,,0.4,0.6,575.15,309.15,184.48619999999994,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0
99,414.08,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,,,0.5,0.5,575.15,309.15,177.00949999999995,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
100,456.58,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,,,0.75,0.25,575.15,309.15,158.31774999999996,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0
101,494.78,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,,,0.86,0.14,575.15,309.15,150.09337999999997,1.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,1.0,0.0
102,325.0,C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,,,0.17,0.83,575.15,345.15,125.13502999999996,1.0,0.0,0.0,0.0,0.83,0.17,0.0,0.0,0.83,0.17,0.0
103,290.79999999999995,C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,,,0.25,0.75,575.15,345.15,126.53174999999996,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.75,0.25,0.0
104,307.15,C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C(=C1)C)O)C,,,0.33,0.67,575.15,343.15,137.32655999999997,1.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.67,0.33,0.0
105,273.15,C[N+](C)(C)CCO.[Cl-],CC1=C(C=C(C=C1)O)C,,,0.33,0.67,575.15,336.15,127.92846999999998,1.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.67,0.33,0.0
106,360.15,C[N+](C)(C)CCO.[Cl-],C1=CC(=CC=C1C(=O)O)O,,,0.67,0.33,575.15,487.65,139.12967999999998,1.33,0.0,0.33,0.0,0.33,0.67,0.0,0.0,0.33,0.67,0.0
107,358.15,C[N+](C)(C)CCO.[Cl-],C(CCC(=O)O)CC(=O)O,,,0.5,0.5,575.15,424.0,142.884,1.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
108,282.15,C[N+](C)(C)CCO.[Cl-],C=CCNC(=O)N,,,0.33,0.67,575.15,357.15,113.15764999999999,1.6700000000000002,0.0,0.0,0.0,0.0,0.33,0.67,1.34,0.0,1.0,0.0
109,317.15,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)N,,,0.33,0.67,575.15,267.15,108.47300999999999,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67,1.0,0.0
110,365.15,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)N,,,0.33,0.67,575.15,398.15,127.23970999999999,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.67,0.33,0.0
111,351.15,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)O,,,0.33,0.67,575.15,394.15,127.89898999999997,1.0,0.0,0.67,0.0,0.0,0.33,0.0,0.0,0.67,0.33,0.0
112,340.15,C[N+](C)(C)CCO.[Cl-],C1=CC(=C(C=C1C=CC(=O)O)O)O,,,0.67,0.33,575.15,484.15,153.00188999999997,1.6600000000000001,0.33,0.0,0.0,0.66,0.67,0.0,0.0,0.33,1.33,0.0
113,304.45,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,,,0.2,0.8,575.15,304.75,165.7396,1.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0
